class_uri,fname,alpha
http://dbpedia.org/ontology/Airline,5873256_0_7795190905731964989.csv,0.470000
http://dbpedia.org/ontology/Airline,86747932_0_7532457067740920052.csv,0.470000
http://dbpedia.org/ontology/Animal,48456557_0_3760853481322708783.csv,0.451667
http://dbpedia.org/ontology/Animal,60319454_0_3938426910282115527.csv,0.493333
http://dbpedia.org/ontology/Animal,62564020_0_3836030043284699244.csv,0.525000
http://dbpedia.org/ontology/Animal,79966524_0_1484492112455633784.csv,0.485000
http://dbpedia.org/ontology/PoliticalParty,12746760_0_6703465836620308483.csv,0.415000
http://dbpedia.org/ontology/PoliticalParty,28646774_0_3256889721737611537.csv,0.415000
http://dbpedia.org/ontology/PoliticalParty,30645756_0_2413317245475669227.csv,0.408750
http://dbpedia.org/ontology/PoliticalParty,39606331_0_1646213676302448706.csv,0.415000
http://dbpedia.org/ontology/PoliticalParty,42764224_0_515744189130384109.csv,0.404375
http://dbpedia.org/ontology/PoliticalParty,44005578_0_5400481538370055338.csv,0.415000
http://dbpedia.org/ontology/PoliticalParty,70883081_0_5357790421435123524.csv,0.404375
http://dbpedia.org/ontology/PoliticalParty,76373906_0_6904594838446307331.csv,0.404375
http://dbpedia.org/ontology/PoliticalParty,78005071_0_8643954006825971723.csv,0.408125
http://dbpedia.org/ontology/Wrestler,25933880_0_4058554985574416690.csv,0.490000
http://dbpedia.org/ontology/Wrestler,40534006_0_4617468856744635526.csv,0.470000
http://dbpedia.org/ontology/Company,11278409_0_3742771475298785475.csv,0.541875
http://dbpedia.org/ontology/Company,12271141_0_8517913935669973086.csv,0.538750
http://dbpedia.org/ontology/Company,14380604_4_3329235705746762392.csv,0.532813
http://dbpedia.org/ontology/Company,15700884_0_8204220284166767221.csv,0.531563
http://dbpedia.org/ontology/Company,28079336_1_3124145965038277571.csv,0.535000
http://dbpedia.org/ontology/Company,28079336_2_2139598421036200532.csv,0.539375
http://dbpedia.org/ontology/Company,28423212_0_2742990779532526553.csv,0.544063
http://dbpedia.org/ontology/Company,39650055_5_7135804139753401681.csv,0.536875
http://dbpedia.org/ontology/Company,41336118_0_4331895026409635103.csv,0.535000
http://dbpedia.org/ontology/Company,52572391_0_8684896999787304275.csv,0.537188
http://dbpedia.org/ontology/Company,56224555_0_3713922722778385817.csv,0.535625
http://dbpedia.org/ontology/Company,63389809_0_8179819543692215824.csv,0.536563
http://dbpedia.org/ontology/Company,64092785_0_4696367782987533337.csv,0.539688
http://dbpedia.org/ontology/Company,80184932_0_4240003884724905487.csv,0.511563
http://dbpedia.org/ontology/Company,90723763_0_874013697986950454.csv,0.535625
http://dbpedia.org/ontology/Company,93702496_0_39013305210829591.csv,0.533125
http://dbpedia.org/ontology/Company,96203994_0_2127964719640427252.csv,0.540313
http://dbpedia.org/ontology/Film,16767252_0_2409448375013995751.csv,0.430938
http://dbpedia.org/ontology/Film,20135078_0_7570343137119682530.csv,0.424688
http://dbpedia.org/ontology/Film,21362676_0_6854186738074119688.csv,0.424688
http://dbpedia.org/ontology/Film,25404227_0_2240631045609013057.csv,0.426875
http://dbpedia.org/ontology/Film,35188621_0_6058553107571275232.csv,0.420938
http://dbpedia.org/ontology/Film,38428277_0_1311643810102462607.csv,0.422813
http://dbpedia.org/ontology/Film,39173938_0_7916056990138658530.csv,0.419063
http://dbpedia.org/ontology/Film,39759273_0_1427898308030295194.csv,0.425313
http://dbpedia.org/ontology/Film,40844462_1_6230938203735169234.csv,0.424688
http://dbpedia.org/ontology/Film,50245608_0_871275842592178099.csv,0.426563
http://dbpedia.org/ontology/Film,53822652_0_5767892317858575530.csv,0.425625
http://dbpedia.org/ontology/Film,54719588_0_8417197176086756912.csv,0.421250
http://dbpedia.org/ontology/Film,58891288_0_1117541047012405958.csv,0.427188
http://dbpedia.org/ontology/Film,69881946_0_1105130426898457358.csv,0.422188
