class,alpha
http://dbpedia.org/ontology/Museum,0.160714
http://dbpedia.org/ontology/Currency,0.165714
http://dbpedia.org/ontology/Election,-nan
http://dbpedia.org/ontology/BaseballPlayer,0.158333
http://dbpedia.org/ontology/Airport,0.483571
http://dbpedia.org/ontology/Country,0.389091
http://dbpedia.org/ontology/City,0.366667
http://dbpedia.org/ontology/Person,0.3925
http://dbpedia.org/ontology/Lake,0.359583
http://dbpedia.org/ontology/Bird,0.096
http://dbpedia.org/ontology/Airline,0.47
http://dbpedia.org/ontology/Animal,0.48875
http://dbpedia.org/ontology/Wrestler,0.48
http://dbpedia.org/ontology/PoliticalParty,0.369
http://dbpedia.org/ontology/VideoGame,0.310526
http://dbpedia.org/ontology/Saint,0.136667
http://dbpedia.org/ontology/Company,0.535588
http://dbpedia.org/ontology/Hospital,0.35375
http://dbpedia.org/ontology/Film,0.424706
http://dbpedia.org/ontology/Plant,0.156667
http://dbpedia.org/ontology/RadioStation,0.243
http://dbpedia.org/ontology/Building,0.516667
http://dbpedia.org/ontology/Monarch,0.127778
http://dbpedia.org/ontology/Scientist,0.453333
http://dbpedia.org/ontology/Newspaper,0.35875
http://dbpedia.org/ontology/Mountain,0.210714
