class,alpha
http://dbpedia.org/ontology/Museum,0.162857
http://dbpedia.org/ontology/Currency,0.165714
http://dbpedia.org/ontology/Election,0
http://dbpedia.org/ontology/BaseballPlayer,0.1625
http://dbpedia.org/ontology/Airport,0.483571
http://dbpedia.org/ontology/Country,0.390152
http://dbpedia.org/ontology/City,0.376667
http://dbpedia.org/ontology/Person,0.545
http://dbpedia.org/ontology/Lake,0.36125
http://dbpedia.org/ontology/Bird,0.096
http://dbpedia.org/ontology/Airline,0.47
http://dbpedia.org/ontology/Animal,0.62375
http://dbpedia.org/ontology/Wrestler,0.4825
http://dbpedia.org/ontology/PoliticalParty,0.3075
http://dbpedia.org/ontology/VideoGame,0.317368
http://dbpedia.org/ontology/Saint,0.136667
http://dbpedia.org/ontology/Company,0.639706
http://dbpedia.org/ontology/Hospital,0.315
http://dbpedia.org/ontology/Film,0.477059
http://dbpedia.org/ontology/Plant,0.16
http://dbpedia.org/ontology/RadioStation,0.246
http://dbpedia.org/ontology/Building,0.558333
http://dbpedia.org/ontology/Monarch,0.127778
http://dbpedia.org/ontology/Scientist,0.482778
http://dbpedia.org/ontology/Newspaper,0.36125
http://dbpedia.org/ontology/Mountain,0.215
