class_uri,fname,alpha,iscorrect
http://dbpedia.org/ontology/Plant,63450419_0_8012592961815711786.csv,0.470000,1
http://dbpedia.org/ontology/Plant,88523363_0_8180214313099580515.csv,0.515000,1
http://dbpedia.org/ontology/BaseballPlayer,45073662_0_3179937335063201739.csv,0.487500,1
http://dbpedia.org/ontology/BaseballPlayer,50270082_0_444360818941411589.csv,0.487500,1
http://dbpedia.org/ontology/BaseballPlayer,66009064_0_9148652238372261251.csv,0.505000,1
http://dbpedia.org/ontology/Airport,34041816_1_4749054164534706977.csv,0.485000,1
http://dbpedia.org/ontology/Airport,39107734_2_2329160387535788734.csv,0.450000,1
http://dbpedia.org/ontology/Newspaper,10579449_0_1681126353774891032.csv,0.475000,1
http://dbpedia.org/ontology/Newspaper,80588006_0_6965325215443683359.csv,0.437500,1
http://dbpedia.org/ontology/Newspaper,9567241_0_5666388268510912770.csv,0.442500,1
http://dbpedia.org/ontology/Mountain,1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,0.465000,1
http://dbpedia.org/ontology/Mountain,99070098_0_2074872741302696997.csv,0.495000,1
http://dbpedia.org/ontology/Country,14067031_0_559833072073397908.csv,0.351667,1
http://dbpedia.org/ontology/Country,24036779_0_5608105867560183058.csv,0.381667,1
http://dbpedia.org/ontology/Country,52299421_0_4473286348258170200.csv,0.383333,1
http://dbpedia.org/ontology/Country,69537082_0_7789694313271016902.csv,0.383333,1
http://dbpedia.org/ontology/Film,16767252_0_2409448375013995751.csv,0.434643,1
http://dbpedia.org/ontology/Film,20135078_0_7570343137119682530.csv,0.427500,1
http://dbpedia.org/ontology/Film,21362676_0_6854186738074119688.csv,0.427500,1
http://dbpedia.org/ontology/Film,25404227_0_2240631045609013057.csv,0.428929,1
http://dbpedia.org/ontology/Film,35188621_0_6058553107571275232.csv,0.423214,1
http://dbpedia.org/ontology/Film,38428277_0_1311643810102462607.csv,0.425357,1
http://dbpedia.org/ontology/Film,39173938_0_7916056990138658530.csv,0.421071,1
http://dbpedia.org/ontology/Film,39759273_0_1427898308030295194.csv,0.428214,1
http://dbpedia.org/ontology/Film,50245608_0_871275842592178099.csv,0.429643,1
http://dbpedia.org/ontology/Film,53822652_0_5767892317858575530.csv,0.428571,1
http://dbpedia.org/ontology/Film,54719588_0_8417197176086756912.csv,0.423571,1
http://dbpedia.org/ontology/Film,58891288_0_1117541047012405958.csv,0.430357,1
http://dbpedia.org/ontology/Film,69881946_0_1105130426898457358.csv,0.424643,1
http://dbpedia.org/ontology/Film,77694908_0_6083291340991074532.csv,0.431429,1
http://dbpedia.org/ontology/Film,84548468_0_5955155464119382182.csv,0.425357,1
http://dbpedia.org/ontology/Lake,21245481_0_8730460088443117515.csv,0.436667,1
http://dbpedia.org/ontology/Lake,53989675_0_8697482470743954630.csv,0.440000,1
http://dbpedia.org/ontology/Lake,71840765_0_6664391841933033844.csv,0.476667,1
http://dbpedia.org/ontology/Lake,8468806_0_4382447409703007384.csv,0.441667,1
http://dbpedia.org/ontology/VideoGame,11833461_1_3811022039809817402.csv,0.401111,1
http://dbpedia.org/ontology/VideoGame,22864497_0_8632623712684511496.csv,0.421667,1
http://dbpedia.org/ontology/VideoGame,29414811_12_251152470253168163.csv,0.398889,1
http://dbpedia.org/ontology/VideoGame,29414811_13_8724394428539174350.csv,0.398889,1
http://dbpedia.org/ontology/VideoGame,29414811_2_4773219892816395776.csv,0.418333,1
http://dbpedia.org/ontology/VideoGame,29414811_6_8221428333921653560.csv,0.401667,1
http://dbpedia.org/ontology/VideoGame,36102169_0_7739454799295072814.csv,0.418333,1
http://dbpedia.org/ontology/VideoGame,46671561_0_6122315295162029872.csv,0.406111,1
http://dbpedia.org/ontology/VideoGame,75367212_2_2745466355267233390.csv,0.400556,1
http://dbpedia.org/ontology/VideoGame,91959037_0_7907661684242014480.csv,0.419444,1
http://dbpedia.org/ontology/Company,14380604_4_3329235705746762392.csv,0.530000,1
http://dbpedia.org/ontology/Company,39650055_5_7135804139753401681.csv,0.562500,1
http://dbpedia.org/ontology/Company,41336118_0_4331895026409635103.csv,0.547500,1
